year;month;day;totale;areac
2015;01;01;75341;0
2015;01;02;89136;0
2015;01;03;99149;0
2015;01;04;94089;0
2015;01;05;110727;0
2015;01;06;104129;0
2015;01;07;111877;1
2015;01;08;122093;1
2015;01;09;129059;1
2015;01;10;140089;0
2015;01;11;110671;0
2015;01;12;124353;1
2015;01;13;132241;1
2015;01;14;135130;1
2015;01;15;143867;1
2015;01;16;148622;1
2015;01;17;158744;0
2015;01;18;128226;0
2015;01;19;136061;1
2015;01;20;140953;1
2015;01;21;145608;1
2015;01;22;147259;1
2015;01;23;143750;1
2015;01;24;144061;0
2015;01;25;117143;0
2015;01;26;128144;1
2015;01;27;138366;1
2015;01;28;141216;1
2015;01;29;147811;1
2015;01;30;146339;1
2015;01;31;144476;0
2015;02;01;116783;0
2015;02;02;127753;1
2015;02;03;137514;1
2015;02;04;140425;1
2015;02;05;143764;1
2015;02;06;143516;1
2015;02;07;144374;0
2015;02;08;115264;0
2015;02;09;130896;1
2015;02;10;137934;1
2015;02;11;139133;1
2015;02;12;146889;1
2015;02;13;146231;1
2015;02;14;147329;0
2015;02;15;111322;0
2015;02;16;127822;1
2015;02;17;135001;1
2015;02;18;137263;1
2015;02;19;135352;1
2015;02;20;128956;1
2015;02;21;129956;0
2015;02;22;112585;0
2015;02;23;132546;1
2015;02;24;145578;1
2015;02;25;150162;1
2015;02;26;157471;1
2015;02;27;155008;1
2015;02;28;162480;0
2015;03;01;138764;0
2015;03;02;138821;1
2015;03;03;140277;1
2015;03;04;144199;1
2015;03;05;147243;1
2015;03;06;143120;1
2015;03;07;139839;0
2015;03;08;118970;0
2015;03;09;130153;1
2015;03;10;137615;1
2015;03;11;141152;1
2015;03;12;147675;1
2015;03;13;144443;1
2015;03;14;147241;0
2015;03;15;118633;0
2015;03;16;138585;1
2015;03;17;144203;1
2015;03;18;143944;1
2015;03;19;150134;1
2015;03;20;146979;1
2015;03;21;148285;0
2015;03;22;117159;0
2015;03;23;130424;1
2015;03;24;143856;1
2015;03;25;151179;1
2015;03;26;154547;1
2015;03;27;151502;1
2015;03;28;146468;0
2015;03;29;103880;0
2015;03;30;136978;1
2015;03;31;139918;1
2015;04;01;143008;1
2015;04;02;133763;1
2015;04;03;111156;1
2015;04;04;99646;0
2015;04;05;71319;0
2015;04;06;84844;0
2015;04;07;111709;1
2015;04;08;130201;1
2015;04;09;144384;1
2015;04;10;151940;1
2015;04;11;156986;0
2015;04;12;119931;0
2015;04;13;144746;1
2015;04;14;158158;1
2015;04;15;160813;1
2015;04;16;169253;1
2015;04;17;173509;1
2015;04;18;168460;0
2015;04;19;134871;0
2015;04;20;134965;1
2015;04;21;140465;1
2015;04;22;141859;1
2015;04;23;147241;1
2015;04;24;145207;1
2015;04;25;126293;0
2015;04;26;118211;0
2015;04;27;142763;1
2015;04;28;166807;0
2015;04;29;147839;1
2015;04;30;151506;1
2015;05;01;96706;0
2015;05;02;117972;0
2015;05;03;110292;0
2015;05;04;132527;1
2015;05;05;138714;1
2015;05;06;142365;1
2015;05;07;149681;1
2015;05;08;151653;1
2015;05;09;150229;0
2015;05;10;122075;0
2015;05;11;130670;1
2015;05;12;137564;1
2015;05;13;140650;1
2015;05;14;149097;1
2015;05;15;151982;1
2015;05;16;146333;0
2015;05;17;115019;0
2015;05;18;133166;1
2015;05;19;142997;1
2015;05;20;149098;1
2015;05;21;158073;1
2015;05;22;152362;1
2015;05;23;149968;0
2015;05;24;123901;0
2015;05;25;135121;1
2015;05;26;147971;1
2015;05;27;145944;1
2015;05;28;154460;1
2015;05;29;141005;1
2015;05;30;72038;0
2015;05;31;86008;0
2015;06;01;88442;1
2015;06;02;95661;0
2015;06;03;135936;1
2015;06;04;150331;1
2015;06;05;147415;1
2015;06;06;125324;0
2015;06;07;106173;0
2015;06;08;135925;1
2015;06;09;144346;1
2015;06;10;145247;1
2015;06;11;146634;1
2015;06;12;142184;1
2015;06;13;136564;0
2015;06;14;111435;0
2015;06;15;132998;1
2015;06;16;142899;1
2015;06;17;139549;1
2015;06;18;144445;1
2015;06;19;140464;1
2015;06;20;129527;0
2015;06;21;110791;0
2015;06;22;135481;1
2015;06;23;141870;1
2015;06;24;144767;1
2015;06;25;139911;1
2015;06;26;131166;1
2015;06;27;115928;0
2015;06;28;94913;0
2015;06;29;123921;1
2015;06;30;131700;1
2015;07;01;133941;1
2015;07;02;139966;1
2015;07;03;129576;1
2015;07;04;112652;0
2015;07;05;92376;0
2015;07;06;127198;1
2015;07;07;136008;1
2015;07;08;139109;1
2015;07;09;139810;1
2015;07;10;126878;1
2015;07;11;106747;0
2015;07;12;87119;0
2015;07;13;122502;1
2015;07;14;132683;1
2015;07;15;134841;1
2015;07;16;138787;1
2015;07;17;124553;1
2015;07;18;101574;0
2015;07;19;81512;0
2015;07;20;121202;1
2015;07;21;129517;1
2015;07;22;133096;1
2015;07;23;136391;1
2015;07;24;124452;1
2015;07;25;104127;0
2015;07;26;84107;0
2015;07;27;116902;1
2015;07;28;124753;1
2015;07;29;126405;1
2015;07;30;128405;1
2015;07;31;117356;1
2015;08;01;103386;0
2015;08;02;81478;0
2015;08;03;91262;1
2015;08;04;95595;1
2015;08;05;93560;1
2015;08;06;90833;1
2015;08;07;83847;1
2015;08;08;72191;0
2015;08;09;56481;0
2015;08;10;74438;0
2015;08;11;69571;0
2015;08;12;66524;0
2015;08;13;65303;0
2015;08;14;64192;0
2015;08;15;55096;0
2015;08;16;50608;0
2015;08;17;52717;1
2015;08;18;55546;1
2015;08;19;56896;1
2015;08;20;56609;1
2015;08;21;56795;1
2015;08;22;62108;0
2015;08;23;59346;0
2015;08;24;71650;1
2015;08;25;77223;1
2015;08;26;78338;1
2015;08;27;82223;1
2015;08;28;84321;1
2015;08;29;87018;0
2015;08;30;80979;0
2015;08;31;100755;1
2015;09;01;114606;1
2015;09;02;120311;1
2015;09;03;130428;1
2015;09;04;128886;1
2015;09;05;127212;0
2015;09;06;106387;0
2015;09;07;124544;1
2015;09;08;134594;1
2015;09;09;137237;1
2015;09;10;145525;1
2015;09;11;142290;1
2015;09;12;134975;0
2015;09;13;116235;0
2015;09;14;138455;1
2015;09;15;140012;1
2015;09;16;144801;1
2015;09;17;146321;1
2015;09;18;143407;1
2015;09;19;138752;0
2015;09;20;115463;0
2015;09;21;134129;1
2015;09;22;152066;1
2015;09;23;159769;1
2015;09;24;158639;1
2015;09;25;157280;1
2015;09;26;155481;0
2015;09;27;131901;0
2015;09;28;137813;1
2015;09;29;141618;1
2015;09;30;141800;1
2015;10;01;147321;1
2015;10;02;150355;1
2015;10;03;152875;0
2015;10;04;121631;0
2015;10;05;133284;1
2015;10;06;144272;1
2015;10;07;142092;1
2015;10;08;149155;1
2015;10;09;151065;1
2015;10;10;151267;0
2015;10;11;124264;0
2015;10;12;132998;1
2015;10;13;148595;1
2015;10;14;149301;1
2015;10;15;159655;1
2015;10;16;157363;1
2015;10;17;156018;0
2015;10;18;127651;0
2015;10;19;135104;1
2015;10;20;139190;1
2015;10;21;143046;1
2015;10;22;149971;1
2015;10;23;153836;1
2015;10;24;16368;0
2015;12;16;165437;1
2015;12;17;170830;1
2015;12;18;169972;1
2015;12;19;168524;0
2015;12;20;138868;0
2015;12;21;156697;1
2015;12;22;162682;1
2015;12;23;153152;1
2015;12;24;124186;1
2015;12;25;81883;0
2015;12;26;82854;0
2015;12;27;88919;0
2015;12;28;78178;0
2015;12;29;84195;0
2015;12;30;79393;0
2015;12;31;87245;0
