data;hour;totale;areac
2013-01-01;00;975;0
2013-01-01;00;1778;0
2013-01-01;01;2206;0
2013-01-01;01;2422;0
2013-01-01;02;2364;0
2013-01-01;02;1989;0
2013-01-01;03;1599;0
2013-01-01;03;1398;0
2013-01-01;04;1216;0
2013-01-01;04;1056;0
2013-01-01;05;937;0
2013-01-01;05;913;0
2013-01-01;06;748;0
2013-01-01;06;835;0
2013-01-01;07;484;0
2013-01-01;07;531;0
2013-01-01;08;524;0
2013-01-01;08;530;0
2013-01-01;09;692;0
2013-01-01;09;930;0
2013-01-01;10;1239;0
2013-01-01;10;1390;0
2013-01-01;11;1680;0
2013-01-01;11;1848;0
2013-01-01;12;1904;0
2013-01-01;12;1876;0
2013-01-01;13;1633;0
2013-01-01;13;1464;0
2013-01-01;14;1486;0
2013-01-01;14;1834;0
2013-01-01;15;2140;0
2013-01-01;15;2408;0
2013-01-01;16;2816;0
2013-01-01;16;2680;0
2013-01-01;17;2688;0
2013-01-01;17;2606;0
2013-01-01;18;2350;0
2013-01-01;18;2135;0
2013-01-01;19;2145;0
2013-01-01;19;2058;0
2013-01-01;20;1736;0
2013-01-01;20;1400;0
2013-01-01;21;1310;0
2013-01-01;21;1169;0
2013-01-01;22;1168;0
2013-01-01;22;1050;0
2013-01-01;23;964;0
2013-01-01;23;882;0
2013-01-02;00;681;0
2013-01-02;00;495;0
2013-01-02;01;347;0
2013-01-02;01;288;0
2013-01-02;02;202;0
2013-01-02;02;170;0
2013-01-02;03;148;0
2013-01-02;03;167;0
2013-01-02;04;217;0
2013-01-02;04;299;0
2013-01-02;05;446;0
2013-01-02;05;755;0
2013-01-02;06;972;0
2013-01-02;06;1806;0
2013-01-02;07;2368;0
2013-01-02;07;2462;0
2013-01-02;08;2826;0
2013-01-02;08;3162;0
2013-01-02;09;3045;0
2013-01-02;09;3158;0
2013-01-02;10;3310;0
2013-01-02;10;3438;0
2013-01-02;11;3418;0
2013-01-02;11;3279;0
2013-01-02;12;3047;0
2013-01-02;12;2875;0
2013-01-02;13;2567;0
2013-01-02;13;2476;0
2013-01-02;14;2840;0
2013-01-02;14;3073;0
2013-01-02;15;3272;0
2013-01-02;15;3229;0
2013-01-02;16;3085;0
2013-01-02;16;3205;0
2013-01-02;17;3123;0
2013-01-02;17;3215;0
2013-01-02;18;3078;0
2013-01-02;18;2924;0
2013-01-02;19;2636;0
2013-01-02;19;2766;0
2013-01-02;20;2254;0
2013-01-02;20;1801;0
2013-01-02;21;1518;0
2013-01-02;21;1436;0
2013-01-02;22;1512;0
2013-01-02;22;1335;0
2013-01-02;23;1279;0
2013-01-02;23;1075;0
2013-01-03;00;889;0
2013-01-03;00;672;0
2013-01-03;01;498;0
2013-01-03;01;396;0
2013-01-03;02;322;0
2013-01-03;02;237;0
2013-01-03;03;170;0
2013-01-03;03;192;0
2013-01-03;04;225;0
2013-01-03;04;336;0
2013-01-03;05;501;0
2013-01-03;05;768;0
2013-01-03;06;1012;0
2013-01-03;06;1835;0
2013-01-03;07;2406;0
2013-01-03;07;2749;0
2013-01-03;08;3249;0
2013-01-03;08;3837;0
2013-01-03;09;3733;0
2013-01-03;09;3882;0
2013-01-03;10;3851;0
2013-01-03;10;3898;0
2013-01-03;11;3916;0
2013-01-03;11;3550;0
2013-01-03;12;3220;0
2013-01-03;12;3072;0
2013-01-03;13;2739;0
2013-01-03;13;2719;0
2013-01-03;14;3061;0
2013-01-03;14;3385;0
2013-01-03;15;3456;0
2013-01-03;15;3498;0
2013-01-03;16;3315;0
2013-01-03;16;3277;0
2013-01-03;17;3352;0
2013-01-03;17;3452;0
2013-01-03;18;3580;0
2013-01-03;18;3350;0
2013-01-03;19;3113;0
2013-01-03;19;3120;0
2013-01-03;20;2617;0
2013-01-03;20;2051;0
