linea;mezzo;percorso;verso;nome;tipo_perc;lung_km;num_ferm
729;BUS;322;Di;Comasina M3 - Sesto S.G.;Canonico;9.35;26
55;BUS;475;Di;Loreto - Cim. Lambrate;Canonico;5.33;17
55;BUS;478;As;Q.re Feltre - Loreto;Barrato;4.05;13
55;BUS;479;As;Cim. Lambrate - Loreto;Canonico;5.68;17
56;BUS;3464;As;Crescenzago - Loreto;Barrato;4.79;15
56;BUS;480;As;Q.re Adriano - Loreto;Canonico;6.85;22
56;BUS;3465;Di;Loreto - Crescenzago;Barrato;5.48;20
67;BUS;583;Di;Baracca - Scanini;Canonico;8.62;30
56;BUS;654;Di;P.le Loreto - Q.re Adriano;Canonico;5.75;21
12;TRAM;2263;As;Roserio - Molise;Canonico;12.96;39
176;BUS;2982;As;Ingresso - Campo 12;Canonico;0.67;4
176;BUS;2983;Di;Campo 12 - Ingresso;Canonico;0.68;4
68;BUS;3001;Di;Bergognone - Bonola M1;Canonico;10.26;32
3;TRAM;3275;As;Gratosoglio - Cantu'/Orefici;Canonico;7.27;25
3;TRAM;3533;Di;Cantu'/Orefici - Gratosoglio;Canonico;7.19;23
90;FILOBUS;3575;Di;Lotto - Isonzo;Canonico;12.91;40
91;FILOBUS;3578;As;Isonzo - Lotto;Canonico;13.16;40
69;BUS;3732;As;M.Dorino (ramo S.Leonardo) - Firenze;Barrato;6.94;21
69;BUS;3734;As;M.Dorino (ramo Gallaratese) - Firenze;Canonico;8.19;23
4;TRAM;3848;As;Parco Nord - Maciachini;Barrato;3.77;10
4;TRAM;3851;Di;Maciachini - Parco Nord;Barrato;3.33;10
172;BUS;3976;Di;Martiri della Deportazione - Bicocca;Canonico;7.09;18
90;FILOBUS;4086;As;Isonzo - Lotto (Circolare Destra);Canonico;8.07;24
66;BUS;4039;As;Cadore - Linate;Barrato;7.66;25
88;BUS;5085;Di;Ungheria - Rogoredo FS M3;Canonico;2.40;8
91;FILOBUS;4084;Di;Lotto - Isonzo (Circolare sinistra);Canonico;8.12;25
88;BUS;5087;As;Rogoredo FS M3 - Aviazione;Barrato;5.02;15
121;BUS;4241;Di;S.Giuliano M. (De Nicola) - Stz S.Donato M3;Barrato;6.18;14
121;BUS;4242;Di;S.Giuliano M. (Stz F.S.) - Stz S.Donato M3;Canonico;6.44;15
12;TRAM;4282;Di;Molise - Roserio;Canonico;12.99;41
14;TRAM;4287;Di;Lorenteggio - Cim. Maggiore;Canonico;14.33;47
69;BUS;4404;Di;Firenze - Molino Dorino (Ramo S.Leonardo);Barrato;6.74;22
69;BUS;4405;Di;Firenze - Molino Dorino (Ramo Gallaratese);Canonico;8.14;24
424;BUS;4506;;Molino Dorino M1 - Bareggio (Gallina)                                           ;Canonico;9.41;9
424;BUS;4508;;Bareggio (Gallina) - Molino Dorino M1                                           ;Canonico;9.93;11
9;TRAM;4538;As;Stz Genova - Stz Centrale;Canonico;7.53;26
67;BUS;4540;As;Scanini - Baracca;Canonico;9.11;34
925;BUS;4701;Di;Segrate (F.lli Cervi) - Milano (Cascina Gobba M2);Barrato;3.26;9
925;BUS;4702;Di;Milano (Olgettina) - Milano (Cascina Gobba M2);Barrato;1.52;4
925;BUS;4703;Di;Milano (Udine) - Milano (Cascina Gobba M2);Canonico;6.14;14
43;BUS;4705;Di;Firenze - Greco;Canonico;7.22;25
31;TRAM;4842;Di;F.Testi/Bignami - Cinisello B.;Barrato;4.32;11
93;FILOBUS;5484;Di;Omero - Bottini;Canonico;6.87;22
121;BUS;4872;As;"Stz S.Donato M3 - S.Giuliano M (Stz F.S,)";Canonico;6.37;13
121;BUS;4873;As;Stz S.Donato M3 - S.Giuliano M (De Nicola);Barrato;6.09;12
3;TRAM;5065;Di;Torino/Spadari - Gratosoglio;Barrato;6.99;22
88;BUS;5084;As;Rogoredo FS M3 - Ungheria;Canonico;2.18;7
62;BUS;5099;As;Sire Raul - Lodi;Canonico;7.28;25
44;BUS;5569;Di;Turro - C.na Gobba;Canonico;5.33;19
901;BUS;5131;Di;Peschiara B. (Don sturzo) - Milano (S. Donato m3);Canonico;8.62;24
3;TRAM;5190;As;Gratosoglio - Torino/Duomo;Barrato;7.14;24
566;BUS;5331;;Paderno Dugnano - Milano;Canonico;11.83;33
566;BUS;5334;;Bollate (Marx) - Milano;Canonico;6.02;18
93;FILOBUS;5482;As;Bottini - Omero;Canonico;7.02;24
566;BUS;5826;;Bollate (Marx) - Milano (trans  Sauro);Canonico;4.60;13
75;BUS;5492;As;C.na Gobba M2 - Pitteri;Canonico;7.55;21
75;BUS;5494;Di;Pitteri - C.na Gobba M2;Canonico;7.47;25
705;BUS;5650;As;Cormano - Comasina M3;Canonico;6.43;12
352;BUS;5748;As;Buccinasco - Assago Forum M2;Canonico;7.35;19
705;BUS;5785;As;Cormano - Comasina M3;Barrato;5.94;11
83;BUS;5795;As;Niguarda ( Parco Nord ) - Comasina M3 ( transita Don Minzoni);Barrato;8.51;23
705;BUS;5799;Di;Comasina M3 - Cormano;Canonico;4.93;12
729;BUS;5844;Di;Cusano M. - Sesto S.G.;Barrato;5.31;16
166;BUS;6142;As;Milano (Zara) - Desio;Barrato;18.18;36
83;BUS;5804;As;Niguarda ( Parco Nord ) - Comasina M3 ( transita Don Minzoni);Barrato;8.05;22
83;BUS;5812;Di;Comasina M3 - Niguarda ( Parco Nord );Barrato;5.63;13
566;BUS;5825;;Paderno Dugnano - Milano (trans per via Sauro);Barrato;10.41;28
729;BUS;5843;As;Sesto S.G. - Cusano M.;Barrato;5.78;16
81;BUS;6203;As;Centrale - Lambrate (corse notturne);Barrato;4.00;17
166;BUS;6145;As;Parco nord - Desio;Canonico;13.43;23
81;BUS;6201;As;Sesto Marelli - Stz. Lambrate;Canonico;9.56;33
325;BUS;6244;Di;Corsico (Europa) - Milano (Romolo M2);Canonico;6.88;18
728;BUS;6252;As;Milano (Stz Centrale) - Cusano M. (Unione);Barrato;16.83;33
89;BUS;6796;As;Novate Milanese - Ciccotti;Canonico;4.74;11
902;BUS;6291;As;Milano (s.donato m3) - Peschiera b.(via dante);Canonico;9.60;22
902;BUS;6294;As;"Milano (s.donato m3) - Peschiera b. (via dante,trans. mediglia)";Canonico;12.83;28
