
Modalita',Descrizione, Codice aggregazione,,Note,
01,Autovettura privata, ,,
02,Autovettura privata con rimorchio, ,,
03,Autovettura pubblica, ,,
04,Autovettura di soccorso o di polizia, ,,
05,Autobus o filobus in servizio urbano, ,,
06,Autobus di linea o non di linea in extraurbana, ,,
07,Tram, ,,
08,Autocarro, ,,
09,Autotreno con rimorchio, ,,
10,Autosnodato o autoarticolato, ,,
11,Veicoli speciali, ,,
12,Trattore stradale o motrice, ,,
13,Trattore agricolo, ,,
14,Velocipede, ,,
15,Ciclomotore, ,,
16,Motociclo a solo, ,,
17,Motociclo con passeggero, ,,
18,Motocarro o motofurgone, ,,
19,Veicolo a trazione animale o a braccia, ,,
20,Veicolo ignoto perch� datosi alla fuga, ,,21,Quadriciclo, ,,


