
Modalita',Descrizione, Codice aggregazione,,Note,
00,Circostanza imprecisata, ,,
01,Procedeva regolarmente senza svoltare, ,,
02,Procedeva con guida distratta o andamento indeciso, ,,
03,Procedeva  senza mantenere la distanza di sicurezza, ,,
04,Procedeva  senza dare la precedenza al veicolo proveniente da destra, ,,
05,Procedeva  senza rispettare lo stop, ,,
06,Procedeva  senza rispettare il segnale di dare precedenza, ,,
07,Procedeva  contromano, ,,
08,Procedeva  senza rispettare le segnalazioni semaforiche o dell'agente, ,,
10,Procedeva  senza rispettare i segnali di divieto di transito o accesso, ,,
11,Procedeva  con eccesso di velocit�, ,,12,Procedeva  senza rispettare i limiti di velocit�, ,,13,Procedeva  con le luci abbaglianti incrociando altri veicoli, ,,
14,Svoltava a destra regolarmente, ,,
15,Svoltava a destra irregolarmente, ,,
16,Svoltava a sinistra regolarmente, ,,
17,Svoltava a sinistra irregolarmente, ,,
18,Sorpassava all'incrocio, ,,
20,Procedeva regolarmente, ,,
21,Procedeva con guida distratta o andamento indeciso, ,,
22,Procedeva  senza mantenere la distanza di sicurezza, ,,
23,Procedeva  con eccesso di velocit�, ,,24,Procedeva  senza rispettare i limiti di velocit�, ,,25,Procedeva  non in prossimit� del margine destro della carreggiata, ,,26,Procedeva  contromano, ,,
27,Procedeva  senza rispettare i segnali di divieto di transito o accesso, ,,
28,Procedeva  con le luci abbaglianti incrociando altri veicoli, ,,
29,Sorpassava regolarmente, ,,
30,Sorpassava irregolarmente a destra, ,,
31,Sorpassava  in curva, su dosso o con insufficiente visibilit�, ,,32,Sorpassava  un veicolo che ne stava sorpassando un altro, ,,
33,Sorpassava  senza osservare l'apposito segnale di divieto, ,,
34,Manovrava in retrocessione o conversione, ,,
35,Manovrava  per immettersi nel flusso della circolazione, ,,
36,Manovrava  Per svoltare a sinistra (passaggio privato, distributore), ,,
37,Manovrava  regolarmente per fermarsi o sostare, ,,
38,Manovrava  irregolarmente per fermarsi o sostare, ,,
39,Si affiancava ad altri veicoli a due ruote irregolarmente, ,,
40,Procedeva regolarmente, ,,
41,Procedeva  con eccesso di velocit�, ,,42,Procedeva  senza rispettare i limiti di velocit�, ,,43,Procedeva  contromano, ,,
44,Sorpassava veicolo in marcia, ,,
45,Manovrava, ,,
46,Manovrava  senza rispettare le segnalazioni semaforiche o dell'agente, ,,
47,Usciva senza precauzione da passo carrabile, ,,
48,Fuoriusciva dalla carreggiata investendo il pedone, ,,
49,Non dava la precedenza al pedone sugli appositi attraversamenti, ,,
50,Sorpassava un veicolo fermatosi per consentire l'attraversamento, ,,
51,Urtava con il carico il pedone, ,,
52,Superava irregolarmente un tram alla fermata, ,,
60,Procedeva regolarmente, ,,
61,Procedeva con guida distratta o andamento indeciso, ,,
62,Procedeva  senza mantenere la distanza di sicurezza, ,,
63,Procedeva  contromano, ,,
64,Procedeva  con eccesso di velocit�, ,,65,Procedeva  senza rispettare i limiti di velocit�, ,,66,Procedeva  senza rispettare i segnali di divieto di transito o accesso, ,,
67,Sorpassava un altro veicolo in marcia, ,,
68,Attraversava imprudentemente il passaggio a livello, ,,
70,Sbandamento con fuoriuscita per evitare l'urto, ,,
71,Sbandamento con fuoriuscita per guida distratta, ,,
72,Sbandamento con fuoriuscita per eccesso di velocit�, ,,73,Frenava improvvisamente con conseguenza ai trasportati, ,,
74,Caduta di persona da veicolo per: apertura di portiera, ,,
75,Caduta di persona da veicolo per: discesa da veicolo in moto, ,,
76,Caduta di persona da veicolo per: essersi aggrappata o sistemata inadeguatamente, ,,


