
Modalita',Descrizione, Codice aggregazione,,Note,
80,Rottura o insufficienza dei freni, ,,
81,Rottura o guasto dello sterzo, ,,
82,Scoppio o eccessiva usura di pneumatici, ,,
83,Mancanza o insufficienza dei fari o delle luci di posizione, ,,
84,Mancanza  o insufficienza dei lampeggiatori o delle segnalazioni luminose  di arresto, ,,
85,Rottura degli organi di agganciamento dei rimorchi, ,,
86,Deficienza delle attrezzature per il trasporto merci pericolose, ,,
87,Deficienza  degli adattamenti prescritti ai veicoli di minorati fisici, ,,
88,Distacco di ruota, ,,
89,Mancanza o insufficienza dei dispositivi visivi dei velocipedi, ,,


