cReg,REGIONE,cProv,PROVINCIA,CODICE,NOME STRADA,UnivCom,COMUNE,Inc,Mor,Fer,Inc2R,IncMezziP
01,Piemonte,001,Torino,SP13901TO,SP 139 -  di Villafranca,001002,Airasca,1,0,2,0,0
01,Piemonte,001,Torino,SP07801TO,SP 078 -  di Vestignè,001004,Albiano d'Ivrea,3,0,6,0,0
01,Piemonte,001,Torino,SP07901TO,SP 079 -  di Azeglio,001004,Albiano d'Ivrea,2,0,5,0,0
01,Piemonte,001,Torino,SP08001TO,SP 080 -  di Caravino,001004,Albiano d'Ivrea,2,0,4,0,1
01,Piemonte,001,Torino,SP06401TO,SP 064 -  della Valchiusella,001005,Alice Superiore,1,0,3,0,0
01,Piemonte,001,Torino,SP06801TO,SP 068 -  di Alice,001005,Alice Superiore,1,0,3,0,0
01,Piemonte,001,Torino,SP19701TO,SP 197 -  del Colle del Lys,001006,Almese,3,0,4,0,1
01,Piemonte,001,Torino,SP17701TO,SP 177 -  di Valdellatorre,001008,Alpignano,5,0,6,1,1
01,Piemonte,001,Torino,SP17801TO,SP 178 -  di Alpignano (declassata),001008,Alpignano,1,0,3,0,0
01,Piemonte,001,Torino,SP11901TO,SP 119 -  di Moriondo,001009,Andezeno,4,0,4,1,2
01,Piemonte,001,Torino,SP18601TO,SP 186 -  di Rosta,001013,Avigliana,1,0,1,1,1
01,Piemonte,001,Torino,SP19001TO,SP 190 -  di Coazze,001013,Avigliana,6,0,9,3,1
01,Piemonte,001,Torino,SP19701TO,SP 197 -  del Colle del Lys,001013,Avigliana,2,0,3,0,0
01,Piemonte,001,Torino,SP05601TO,SP 056 -  di Strambino,001014,Azeglio,1,0,1,0,0
01,Piemonte,001,Torino,SP07901TO,SP 079 -  di Azeglio,001014,Azeglio,1,0,1,0,0
01,Piemonte,001,Torino,SP00201TO,SP 002 -  di Germagnano,001016,Balangero,2,0,5,0,0
01,Piemonte,001,Torino,SP00401TO,SP 004 -  di Baldissero,001018,Baldissero Torinese,5,0,6,3,0
01,Piemonte,001,Torino,SP06801TO,SP 068 -  di Alice,001020,Banchette,1,1,0,0,0
01,Piemonte,001,Torino,SP06901TO,SP 069 -  di Quincinetto,001020,Banchette,1,0,1,1,0
01,Piemonte,001,Torino,SP23801TO,SP 238 -  di Millaures,001022,Bardonecchia,1,0,1,0,0
01,Piemonte,001,Torino,SP05301TO,SP 053 -  di San Giorgio Canavese,001023,Barone Canavese,2,0,3,0,0
01,Piemonte,001,Torino,SP21701TO,SP 217 -  di Barone,001023,Barone Canavese,1,0,1,0,0
01,Piemonte,001,Torino,SP00601TO,SP 006 -  di Pinerolo,001024,Beinasco,7,0,7,3,2
01,Piemonte,001,Torino,SP17401TO,SP 174 -  di Borgaretto,001024,Beinasco,3,0,5,1,0
01,Piemonte,001,Torino,SP50201TO,SP 502 -  della Palazzina di Caccia di Stupinigi,001024,Beinasco,1,1,1,0,0
01,Piemonte,001,Torino,SP15701TO,SP 157 -  di Bibiana,001025,Bibiana,3,0,4,0,0
01,Piemonte,001,Torino,SP08001TO,SP 080 -  di Caravino,001027,Bollengo,1,0,1,0,0
01,Piemonte,001,Torino,SP00101TO,SP 001 -  delle Valli di Lanzo,001028,Borgaro Torinese,1,0,1,0,0
01,Piemonte,001,Torino,SP00201TO,SP 002 -  di Germagnano,001028,Borgaro Torinese,4,0,4,2,1
01,Piemonte,001,Torino,SP50101TO,SP 501 -  di Borgaro e Venaria,001028,Borgaro Torinese,1,0,1,0,1
01,Piemonte,001,Torino,SP07301TO,SP 073 -  della Serra,001030,Borgofranco d'Ivrea,1,0,1,1,0
01,Piemonte,001,Torino,SP07401TO,SP 074 -  di Chiaverano,001030,Borgofranco d'Ivrea,1,0,2,0,0
01,Piemonte,001,Torino,SP20301TO,SP 203 -  di Borgone,001032,Borgone Susa,1,0,1,0,0
01,Piemonte,001,Torino,SP16101TO,SP 161 -  della Val Pellice,001035,Bricherasio,2,0,2,1,0
01,Piemonte,001,Torino,SP06601TO,SP 066 -  di Vico Canavese,001036,Brosso,1,0,1,0,1
01,Piemonte,001,Torino,SP18301TO,SP 183 -  di Bruino,001038,Bruino,4,0,4,2,1
01,Piemonte,001,Torino,SP10701TO,SP 107 -  di Brusasco,001039,Brusasco,1,0,1,0,0
01,Piemonte,001,Torino,SP12901TO,SP 129 -  di Carmagnola,001041,Buriasco,1,0,3,0,0
01,Piemonte,001,Torino,SP16001TO,SP 160 -  dei Murisenghi,001041,Buriasco,1,0,2,0,0
01,Piemonte,001,Torino,SP19501TO,SP 195 -  di Roletto,001041,Buriasco,1,0,1,0,0
01,Piemonte,001,Torino,SP01301TO,SP 013 -  di Front,001043,Busano,3,0,6,0,0
01,Piemonte,001,Torino,SP00101TO,SP 001 -  delle Valli di Lanzo,001046,Cafasse,8,0,18,4,0
01,Piemonte,001,Torino,SP18201TO,SP 182 -  di Varisella,001046,Cafasse,1,0,3,0,0
01,Piemonte,001,Torino,SP12201TO,SP 122 -  di Chieri,001048,Cambiano,2,0,2,0,0
01,Piemonte,001,Torino,SP14001TO,SP 140 -  di None,001051,Candiolo,4,0,4,0,1
01,Piemonte,001,Torino,SP14201TO,SP 142 -  di Piobesi,001051,Candiolo,1,0,2,0,0
01,Piemonte,001,Torino,SP03301TO,SP 033 -  della Val Granda,001054,Cantoira,1,0,2,0,0
01,Piemonte,001,Torino,SP05601TO,SP 056 -  di Strambino,001056,Caravino,1,0,2,0,0
01,Piemonte,001,Torino,SP08001TO,SP 080 -  di Caravino,001056,Caravino,2,0,2,2,0
01,Piemonte,001,Torino,SP26401TO,SP 264 -  di Masino,001056,Caravino,1,0,1,0,0
01,Piemonte,001,Torino,SP12201TO,SP 122 -  di Chieri,001058,Carignano,2,1,4,1,0
01,Piemonte,001,Torino,SP13801TO,SP 138 -  di Virle,001058,Carignano,2,0,6,0,1
01,Piemonte,001,Torino,SP14201TO,SP 142 -  di Piobesi,001058,Carignano,2,0,3,0,1
