cReg,REGIONE,cProv,PROVINCIA,CODICE,NOME STRADA,cCom,COMUNE,INC,IM,MOR,FER
01,Piemonte,001,Torino,AA00401,A 04 -  Torino-Trieste,001034,Brandizzo,2,0,0,3
01,Piemonte,001,Torino,AA00401,A 04 -  Torino-Trieste,001082,Chivasso,14,0,0,19
01,Piemonte,001,Torino,AA00401,A 04 -  Torino-Trieste,001225,Rondissone,6,0,0,9
01,Piemonte,001,Torino,AA00401,A 04 -  Torino-Trieste,001265,Settimo Torinese,13,0,0,21
01,Piemonte,001,Torino,AA00401,A 04 -  Torino-Trieste,001272,Torino,1,0,0,1
01,Piemonte,001,Torino,AA00401,A 04 -  Torino-Trieste,001314,Volpiano,7,0,0,11
01,Piemonte,001,Torino,AA00405,A 04 / A 05 -  Diramazione Ivrea-Santhià,001004,Albiano d'Ivrea,2,0,0,7
01,Piemonte,001,Torino,AA00405,A 04 / A 05 -  Diramazione Ivrea-Santhià,001014,Azeglio,1,0,0,1
01,Piemonte,001,Torino,AA00405,A 04 / A 05 -  Diramazione Ivrea-Santhià,001125,Ivrea,1,0,0,3
01,Piemonte,001,Torino,AA00405,A 04 / A 05 -  Diramazione Ivrea-Santhià,001264,Settimo Rottaro,4,0,0,6
01,Piemonte,001,Torino,AA00405,A 04 / A 05 -  Diramazione Ivrea-Santhià,001269,Strambino,2,0,0,6
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001020,Banchette,2,1,2,3
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001030,Borgofranco d'Ivrea,3,0,0,4
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001106,Foglizzo,4,0,0,4
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001132,Lessolo,3,0,0,9
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001159,Montalenghe,1,0,0,1
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001181,Pavone Canavese,2,0,0,6
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001185,Perosa Canavese,1,0,0,3
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001209,Quassolo,1,0,0,1
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001210,Quincinetto,2,0,0,2
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001236,San Benigno Canavese,2,0,0,3
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001244,San Giorgio Canavese,4,1,1,3
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001246,San Giusto Canavese,4,1,1,10
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001261,Scarmagno,6,0,0,7
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001271,Tavagnasco,4,0,0,4
01,Piemonte,001,Torino,AA00501,A 05 -  Torino-Aosta,001314,Volpiano,4,0,0,5
01,Piemonte,001,Torino,AA00601,A 06 -  Torino-Savona (La Verdemare),001059,Carmagnola,11,2,2,21
01,Piemonte,001,Torino,AA00601,A 06 -  Torino-Savona (La Verdemare),001156,Moncalieri,5,0,0,8
01,Piemonte,001,Torino,AA00601,A 06 -  Torino-Savona (La Verdemare),001308,Villastellone,2,0,0,3
01,Piemonte,001,Torino,AA02101,A 21 -  Torino-Piacenza-Brescia (Autostrada dei Vini),001078,Chieri,1,0,0,1
01,Piemonte,001,Torino,AA02101,A 21 -  Torino-Piacenza-Brescia (Autostrada dei Vini),001197,Poirino,1,0,0,1
01,Piemonte,001,Torino,AA02101,A 21 -  Torino-Piacenza-Brescia (Autostrada dei Vini),001215,Riva presso Chieri,2,1,1,2
01,Piemonte,001,Torino,AA02101,A 21 -  Torino-Piacenza-Brescia (Autostrada dei Vini),001257,Santena,3,0,0,8
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001013,Avigliana,9,0,0,14
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001032,Borgone Susa,1,0,0,1
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001062,Caselette,2,0,0,2
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001076,Chianocco,2,0,0,4
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001080,Chiomonte,4,0,0,9
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001093,Condove,1,0,0,2
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001114,Giaglione,1,0,0,1
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001175,Oulx,1,0,0,2
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001219,Rivoli,2,0,0,3
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001228,Rosta,5,0,0,7
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001232,Salbertrand,1,0,0,1
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001255,Sant'Ambrogio di Torino,3,1,1,2
01,Piemonte,001,Torino,AA03201,A 32 -  Torino-Bardonecchia,001270,Susa,4,0,0,4
01,Piemonte,001,Torino,DI00301,Diramazione Moncalieri,001156,Moncalieri,23,0,0,35
