CodReg,Regione,Prov,provincia,CODICE,nome strada,UnivCom,comune,Inc,Mor,Fer,Inc2R,IncMezziP
01,Piemonte,001,Torino,SP04101TO,SP 041 -  di Agliè,001001,Agliè,4,0,6,1,0
01,Piemonte,001,Torino,SP13901TO,SP 139 -  di Villafranca,001002,Airasca,2,1,2,0,0
01,Piemonte,001,Torino,SP08001TO,SP 080 -  di Caravino,001004,Albiano d'Ivrea,1,0,1,0,1
01,Piemonte,001,Torino,SP06801TO,SP 068 -  di Alice,001005,Alice Superiore,1,0,1,0,0
01,Piemonte,001,Torino,SP17701TO,SP 177 -  di Valdellatorre,001008,Alpignano,3,0,5,1,0
01,Piemonte,001,Torino,SP17801TO,SP 178 -  di Alpignano,001008,Alpignano,1,0,1,0,0
01,Piemonte,001,Torino,SP11901TO,SP 119 -  di Moriondo,001009,Andezeno,4,0,8,1,1
01,Piemonte,001,Torino,SP12201TO,SP 122 -  di Chieri,001009,Andezeno,1,0,3,0,0
01,Piemonte,001,Torino,SP12401TO,SP 124 -  di Pecetto,001013,Avigliana,1,0,1,0,0
01,Piemonte,001,Torino,SP18601TO,SP 186 -  di Rosta,001013,Avigliana,1,0,2,0,0
01,Piemonte,001,Torino,SP18801TO,SP 188 -  del colle Braida,001013,Avigliana,2,0,3,1,0
01,Piemonte,001,Torino,SP19701TO,SP 197 -  del Colle del Lys,001013,Avigliana,1,0,2,0,0
01,Piemonte,001,Torino,SP07901TO,SP 079 -  di Azeglio,001014,Azeglio,1,0,1,0,0
01,Piemonte,001,Torino,SP00201TO,SP 002 -  di Germagnano,001016,Balangero,3,0,6,2,0
01,Piemonte,001,Torino,SP22201TO,SP 222 -  di Castellamonte,001017,Baldissero Canavese,3,0,3,1,1
01,Piemonte,001,Torino,SP06901TO,SP 069 -  di Quincinetto,001020,Banchette,1,0,1,1,0
01,Piemonte,001,Torino,SP21601TO,SP 216 -  del Melezet,001022,Bardonecchia,1,0,1,0,0
01,Piemonte,001,Torino,SP00601TO,SP 006 -  di Pinerolo,001024,Beinasco,24,0,36,6,1
01,Piemonte,001,Torino,SP15701TO,SP 157 -  di Bibiana,001025,Bibiana,3,0,5,1,0
01,Piemonte,001,Torino,SP16101TO,SP 161 -  della Val Pellice,001026,Bobbio Pellice,1,0,4,0,0
01,Piemonte,001,Torino,SP00201TO,SP 002 -  di Germagnano,001028,Borgaro Torinese,6,0,10,2,2
01,Piemonte,001,Torino,SP01201TO,SP 012 -  del Fornacino,001028,Borgaro Torinese,1,0,1,0,0
01,Piemonte,001,Torino,SP22301TO,SP 223 -  di Santa Cristina,001028,Borgaro Torinese,1,0,1,0,0
01,Piemonte,001,Torino,SP26701TO,SP 267 -  di Lombardore,001028,Borgaro Torinese,1,0,1,0,0
01,Piemonte,001,Torino,SP50101TO,SP 501 -  della Reggia,001028,Borgaro Torinese,1,0,1,1,0
01,Piemonte,001,Torino,SP06901TO,SP 069 -  di Quincinetto,001030,Borgofranco d'Ivrea,2,0,4,0,0
01,Piemonte,001,Torino,SP07301TO,SP 073 -  della Serra,001030,Borgofranco d'Ivrea,1,0,1,1,0
01,Piemonte,001,Torino,SP07801TO,SP 078 -  di Vestignè,001031,Borgomasino,2,0,2,1,0
01,Piemonte,001,Torino,SP08701TO,SP 087 -  di Bosconero,001033,Bosconero,2,1,1,0,0
01,Piemonte,001,Torino,SP22001TO,SP 220 -  di Brandizzo,001034,Brandizzo,1,0,1,1,0
01,Piemonte,001,Torino,SP16101TO,SP 161 -  della Val Pellice,001035,Bricherasio,4,0,7,1,2
01,Piemonte,001,Torino,SP06601TO,SP 066 -  di Vico Canavese,001036,Brosso,1,0,2,0,0
01,Piemonte,001,Torino,SP18301TO,SP 183 -  di Bruino,001038,Bruino,8,0,9,4,3
01,Piemonte,001,Torino,SP10701TO,SP 107 -  di Brusasco,001039,Brusasco,1,0,2,0,0
01,Piemonte,001,Torino,SP11001TO,SP 110 -  di Marcorengo,001039,Brusasco,1,0,1,0,0
01,Piemonte,001,Torino,SP13801TO,SP 138 -  di Virle,001041,Buriasco,2,0,3,0,0
01,Piemonte,001,Torino,SP07601TO,SP 076 -  di Burolo,001042,Burolo,1,0,2,1,0
01,Piemonte,001,Torino,SP01301TO,SP 013 -  di Front,001043,Busano,5,0,7,0,0
01,Piemonte,001,Torino,SP18501TO,SP 185 -  di Buttigliera Alta,001045,Buttigliera Alta,3,0,6,1,0
01,Piemonte,001,Torino,SP18601TO,SP 186 -  di Rosta,001045,Buttigliera Alta,5,0,7,2,0
01,Piemonte,001,Torino,SP00101TO,SP 001 -  delle Valli di Lanzo,001046,Cafasse,3,2,6,0,0
01,Piemonte,001,Torino,SP05301TO,SP 053 -  di San Giorgio Canavese,001047,Caluso,1,0,1,0,0
01,Piemonte,001,Torino,SP12201TO,SP 122 -  di Chieri,001048,Cambiano,2,0,2,0,1
