cReg,REGIONE,cProv,PROVINCIA,CODICE,NOME STRADA,UnivCom,COMUNE,Inc,Mor,Fer,Inc2R,IncMezziP
01,Piemonte,001,Torino,SP04101TO,SP 041 -  di Agliè,001001, Agliè,4,0,8,0,0
01,Piemonte,001,Torino,SP05401TO,SP 054 -  di Cuceglio,001001, Agliè,1,0,1,0,0
01,Piemonte,001,Torino,SP13901TO,SP 139 -  di Villafranca,001002, Airasca,1,0,2,1,0
01,Piemonte,001,Torino,SP07801TO,SP 078 -  di Vestignè,001004, Albiano d'Ivrea,1,0,3,0,0
01,Piemonte,001,Torino,SP07901TO,SP 079 -  di Azeglio,001004, Albiano d'Ivrea,2,0,2,1,1
01,Piemonte,001,Torino,SP08001TO,SP 080 -  di Caravino,001004, Albiano d'Ivrea,1,0,4,0,0
01,Piemonte,001,Torino,SP26201TO,SP 262 -  di Pobbia,001004, Albiano d'Ivrea,1,0,2,0,0
01,Piemonte,001,Torino,SP06401TO,SP 064 -  della Valchiusella,001005, Alice Superiore,1,0,1,1,0
01,Piemonte,001,Torino,SP06801TO,SP 068 -  di Alice,001005, Alice Superiore,1,0,1,0,0
01,Piemonte,001,Torino,SP19701TO,SP 197 -  del Colle del Lys,001006, Almese,1,0,2,0,0
01,Piemonte,001,Torino,SP19801TO,SP 198 -  di Villardora,001006, Almese,2,0,2,1,0
01,Piemonte,001,Torino,SP17701TO,SP 177 -  di Valdellatorre,001008, Alpignano,3,0,6,1,0
01,Piemonte,001,Torino,SP17801TO,SP 178 -  di Alpignano (declassata),001008, Alpignano,4,0,7,2,0
01,Piemonte,001,Torino,SP11901TO,SP 119 -  di Moriondo,001009, Andezeno,2,0,2,0,1
01,Piemonte,001,Torino,SP18801TO,SP 188 -  del colle Braida,001013, Avigliana,2,0,2,1,1
01,Piemonte,001,Torino,SP19001TO,SP 190 -  di Coazze,001013, Avigliana,6,0,9,0,0
01,Piemonte,001,Torino,SP19701TO,SP 197 -  del Colle del Lys,001013, Avigliana,2,0,7,0,0
01,Piemonte,001,Torino,SP05601TO,SP 056 -  di Strambino,001014, Azeglio,1,0,1,1,0
01,Piemonte,001,Torino,SP04101TO,SP 041 -  di Agliè,001015, Bairo,1,0,2,0,0
01,Piemonte,001,Torino,SP22201TO,SP 222 -  di Castellamonte,001017, Baldissero Canavese,1,0,1,0,0
01,Piemonte,001,Torino,SP00401TO,SP 004 -  di Baldissero,001018, Baldissero Torinese,3,0,5,1,1
01,Piemonte,001,Torino,SP06901TO,SP 069 -  di Quincinetto,001020, Banchette,1,0,1,1,0
01,Piemonte,001,Torino,SP07701TO,SP 077 -  di Pavone,001020, Banchette,1,0,1,1,0
01,Piemonte,001,Torino,SP21601TO,SP 216 -  del Melezet,001022, Bardonecchia,1,0,1,0,0
01,Piemonte,001,Torino,SP00601TO,SP 006 -  di Pinerolo,001024, Beinasco,2,0,2,0,0
01,Piemonte,001,Torino,SP17401TO,SP 174 -  di Borgaretto,001024, Beinasco,1,0,2,1,0
01,Piemonte,001,Torino,SP15701TO,SP 157 -  di Bibiana,001025, Bibiana,2,0,3,0,0
01,Piemonte,001,Torino,SP08001TO,SP 080 -  di Caravino,001027, Bollengo,2,0,2,0,0
01,Piemonte,001,Torino,SP26701TO,SP 267 -  di Lombardore,001028, Borgaro Torinese,1,0,1,0,0
01,Piemonte,001,Torino,SP71101TO,SP 711 -  di Villaretto,001028, Borgaro Torinese,1,0,1,0,0
01,Piemonte,001,Torino,SP06901TO,SP 069 -  di Quincinetto,001030, Borgofranco d'Ivrea,1,0,3,0,0
01,Piemonte,001,Torino,SP07301TO,SP 073 -  della Serra,001030, Borgofranco d'Ivrea,1,1,1,1,0
01,Piemonte,001,Torino,SP16101TO,SP 161 -  della Val Pellice,001035, Bricherasio,3,0,5,1,0
01,Piemonte,001,Torino,SP18301TO,SP 183 -  di Bruino,001038, Bruino,8,0,12,2,2
01,Piemonte,001,Torino,SP10701TO,SP 107 -  di Brusasco,001039, Brusasco,1,0,1,0,1
01,Piemonte,001,Torino,SP12901TO,SP 129 -  di Carmagnola,001041, Buriasco,3,0,4,1,1
01,Piemonte,001,Torino,SP13801TO,SP 138 -  di Virle,001041, Buriasco,1,0,1,0,0
01,Piemonte,001,Torino,SP15801TO,SP 158 -  di Garzigliana,001041, Buriasco,1,0,2,0,0
01,Piemonte,001,Torino,SP07601TO,SP 076 -  di Burolo,001042, Burolo,1,0,2,0,0
01,Piemonte,001,Torino,SP01301TO,SP 013 -  di Front,001043, Busano,2,1,3,1,1
01,Piemonte,001,Torino,SP01307TO,SP 013 dir2 -  Diramazione per Rivarolo,001043, Busano,1,0,1,0,0
01,Piemonte,001,Torino,SP18601TO,SP 186 -  di Rosta,001045, Buttigliera Alta,3,0,4,0,0
01,Piemonte,001,Torino,SP00101TO,SP 001 -  delle Valli di Lanzo,001046, Cafasse,1,0,1,0,0
01,Piemonte,001,Torino,SP18201TO,SP 182 -  di Varisella,001046, Cafasse,1,0,1,0,0
01,Piemonte,001,Torino,SP08601TO,SP 086 -  di Vallo,001047, Caluso,1,0,1,0,0
01,Piemonte,001,Torino,SP12201TO,SP 122 -  di Chieri,001048, Cambiano,2,0,7,1,0
01,Piemonte,001,Torino,SP14001TO,SP 140 -  di None,001051, Candiolo,5,0,5,3,0
01,Piemonte,001,Torino,SP14201TO,SP 142 -  di Piobesi,001051, Candiolo,4,0,6,1,1
