
Modalita',Descrizione, Codice aggregazione,,Note,
01,Auto privata, ,,
02,Auto privata rimorchio, ,,
03,Autovettura pubblica, ,,
04,Auto soccorso o polizia, ,,
05,Autobus urbano, ,,
06,Autobus extraurbana, ,,
07,Tram, ,,
08,Autocarro, ,,
09,Autotreno, ,,
10,Autosnodato, ,,
11,Veicoli speciali, ,,
12,Trattore stradale, ,,
13,Trattore agricolo, ,,
14,Velocipede, ,,
15,Ciclomotore, ,,
16,Motociclo da solo, ,,
17,Motociclo con passeggero, ,,
18,Motocarro o motofurgone, ,,
19,Veicolo trazione animale, ,,
20,Veicolo ignoto, ,,
21,Quadriciclo, ,,


