
Modalita',Descrizione, Codice aggregazione,,Note,
00,Circostanza imprecisata, ,,
01,Procedeva regolarmente senza svoltare, ,,
02,Procedeva con guida distratta o andamento indeciso, ,,
03,Procedeva  senza mantenere la distanza di sicurezza, ,,
04,Procedeva  senza dare la precedenza al veicolo proveniente da destra, ,,
05,Procedeva  senza rispettare lo stop, ,,
06,Procedeva  senza rispettare il segnale di dare precedenza, ,,
07,Procedeva  contromano, ,,
08,Procedeva  senza rispettare le segnalazioni semaforiche o dell'agente, ,,
10,Procedeva  senza rispettare i segnali di divieto di transito o accesso, ,,
11,Procedeva  con eccesso di velocit�, ,,12,Procedeva  senza rispettare i limiti di velocit�, ,,13,Procedeva  con le luci abbaglianti incrociando altri veicoli, ,,
14,Svoltava a destra regolarmente, ,,
15,Svoltava a destra irregolarmente, ,,
16,Svoltava a sinistra regolarmente, ,,
17,Svoltava a sinistra irregolarmente, ,,
18,Sorpassava all'incrocio, ,,
20,Procedeva regolarmente, ,,
21,Procedeva con guida distratta o andamento indeciso, ,,
22,Procedeva  senza mantenere la distanza di sicurezza, ,,
23,Procedeva  con eccesso di velocit�, ,,24,Procedeva  senza rispettare i limiti di velocit�, ,,25,Procedeva  non in prossimit� del margine destro della carreggiata, ,,26,Procedeva  contromano, ,,
27,Procedeva  senza rispettare i segnali di divieto di transito o accesso, ,,
28,Procedeva  con le luci abbaglianti incrociando altri veicoli, ,,
29,Sorpassava regolarmente, ,,
30,Sorpassava irregolarmente a destra, ,,
31,Sorpassava  in curva, su dosso o con insufficiente visibilit�, ,,32,Sorpassava  un veicolo che ne stava sorpassando un altro, ,,
33,Sorpassava  senza osservare l'apposito segnale di divieto, ,,
34,Manovrava in retrocessione o conversione, ,,
35,Manovrava  per immettersi nel flusso della circolazione, ,,
36,Manovrava  Per svoltare a sinistra (passaggio privato, distributore), ,,
37,Manovrava  regolarmente per fermarsi o sostare, ,,
38,Manovrava  irregolarmente per fermarsi o sostare, ,,
39,Si affiancava ad altri veicoli a due ruote irregolarmente, ,,
40,Camminava o sostava mantenendosi su marciapiede, banchina, ,,
41,Camminava regolarmente sul margine della carreggiata, ,,
42,Camminava contromano, ,,
43,Camminava in mezzo alla carreggiata, ,,
44,Sostava, indugiava o giocava sulla carreggiata, ,,
45,Lavorava sulla carreggiata protetto da apposito segnale, ,,
46,Lavorava sulla carreggiata non protetto da apposito segnale, ,,
47,Saliva su veicolo in marcia, ,,
48,Discendeva da veicolo con prudenza, ,,
49,Discendeva da veicolo con imprudenza, ,,
50,Veniva fuori improvvisamente da dietro veicolo in sosta o fermata, ,,
51,Attraversava ad un passaggio pedonale rispettando i segnali, ,,
52,Attraversava ad un passaggio pedonale non rispettando i segnali, ,,
53,Attraversava la strada ad un passaggio pedonale non protetto da semaforo o agente, ,,
54,Attraversava la strada regolarmente non ad un passaggio pedonale, ,,
55,Attraversava la strada irregolarmente, ,,
60,Ostacolo accidentale, ,,
61,Veicolo fermo in posizione regolare, ,,
62,Veicolo fermo in posizione irregolare, ,,
63,Veicolo fermo senza che sia stato collocato il prescritto segnale, ,,
64,Veicolo fermo regolarmente segnalato, ,,
65,Ostacolo fisso nella carreggiata (colonnina, transenne ecc.), ,,
66,Treno in passaggio a livello, ,,
70,Ostacolo accidentale, ,,
71,Pedone, ,,
72,Animale, ,,
73,Veicolo, ,,
74,Buche, ecc., ,,
75,Senza ostacolo, n� pedone n� altro veicolo, ,,76,Ostacolo fisso, ,,


