regione;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Piemonte;1.0;0.9;1.0;1.1;1.1;1.1;1.2;1.3;1.5;1.3;1.5;1.4;1.5;1.6;1.5;1.5;1.6;1.7;1.8;1.8;1.9
Valle d'Aosta;14.2;13.8;14.0;14.6;14.9;15.4;14.0;13.8;13.6;13.1;13.7;13.2;13.0;13.7;13.6;12.5;13.1;13.7;15.0;15.3;15.6
Lombardia;1.3;1.4;1.3;1.4;1.5;1.6;1.6;1.6;1.6;1.6;1.6;1.7;1.8;1.8;1.8;1.9;1.9;2.0;2.0;2.1;2.1
Trentino;18.8;18.7;18.7;19.7;20.0;20.1;20.3;21.0;20.8;21.0;21.8;21.3;21.3;20.7;21.1;20.7;20.4;21.1;22.4;22.6;23.9
Bolzano/Bozen;25.4;25.3;25.3;26.7;27.3;27.4;27.6;28.3;27.8;28.4;29.6;28.8;28.9;28.0;28.8;28.2;27.3;28.1;30.2;30.0;31.8
Trento;12.4;12.2;12.3;12.8;13.0;13.1;13.2;14.1;14.2;14.0;14.3;14.1;14.0;13.6;13.6;13.5;13.9;14.2;14.9;15.3;16.3
Veneto;3.2;3.4;3.6;3.8;3.9;3.7;3.8;3.9;4.0;4.2;4.1;3.9;3.9;4.0;4.1;4.1;4.0;4.3;4.6;4.8;5.2
Friuli-Venezia Giulia;1.8;2.0;2.0;2.1;2.2;2.0;2.0;2.0;1.9;2.1;2.2;2.1;2.1;2.0;2.1;1.9;1.8;1.9;2.1;2.1;2.4
Liguria;4.0;4.1;4.0;4.0;4.1;3.9;3.7;3.6;3.7;3.7;3.7;3.5;3.4;3.4;3.2;3.1;3.1;3.5;3.7;3.8;3.8
Emilia-Romagna;2.0;2.2;2.3;2.4;2.6;2.6;2.6;2.5;2.6;2.7;2.7;2.5;2.4;2.4;2.4;2.2;2.1;2.2;2.3;2.6;2.8
Toscana;3.5;3.8;4.0;4.1;4.2;3.9;3.9;4.1;4.3;4.4;4.3;4.1;4.3;4.3;4.3;4.3;4.3;4.4;4.5;4.7;5.1
Umbria;2.0;2.2;3.3;3.5;3.5;3.5;3.4;3.3;3.5;3.5;3.3;3.0;3.1;3.2;3.1;3.0;3.1;3.1;3.1;2.9;3.3
Marche;1.9;2.0;2.3;2.4;2.4;2.4;2.3;2.2;2.4;2.5;2.1;2.0;1.9;1.9;1.9;1.9;1.9;2.0;2.2;2.0;1.7
Lazio;2.4;2.4;3.5;3.4;2.7;2.6;3.1;3.6;3.6;3.5;3.4;3.3;3.3;3.2;3.2;3.1;3.1;3.1;3.1;3.3;3.6
Abruzzo;1.1;1.2;1.3;1.3;1.5;1.5;1.5;1.6;1.6;1.5;1.6;1.6;1.6;1.5;1.4;1.4;1.3;1.1;1.1;1.2;1.2
Molise;0.6;0.6;0.7;0.8;0.8;0.8;0.9;0.9;0.9;0.7;0.8;0.8;0.8;0.8;0.7;0.5;0.5;0.6;0.6;0.5;0.5
Campania;1.3;1.3;1.4;1.4;1.4;1.3;1.4;1.3;1.3;1.3;1.2;1.2;1.2;1.3;1.2;1.2;1.2;1.2;1.4;1.4;1.5
Puglia;0.4;0.5;0.5;0.5;0.6;0.6;0.5;0.6;0.6;0.6;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.8;0.8;0.9
Basilicata;0.6;0.6;0.8;0.8;0.7;0.7;0.8;0.8;0.6;0.6;0.7;0.7;0.7;0.8;0.7;0.8;0.9;1.1;1.1;1.2;1.4
Calabria;0.4;0.5;0.6;0.5;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.8;0.7;0.8;0.8;0.7;0.6;0.7;0.7;0.8;0.9
Sicilia;0.9;1.0;1.2;1.2;1.1;1.1;1.1;1.1;1.2;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.1;1.1
Sardegna;0.8;0.9;0.9;1.0;1.1;1.1;1.2;1.1;1.2;1.2;1.3;1.2;1.2;1.2;1.1;1.1;1.1;1.2;1.4;1.5;1.7
