
regione;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Piemonte;1.6;1.9;1.9;1.9;1.7;1.9;2.1;2.0;2.1;2.2;2.4;2.6;2.4;2.7;2.7;2.8;2.9;2.8;2.9;2.9;3.1;3.2;3.4;3.5
Valle d'Aosta;30.2;30.0;28.7;28.8;27.0;26.9;27.3;27.6;28.9;26.2;25.8;25.8;24.8;24.7;24.8;24.5;24.7;24.9;23.2;23.2;25.3;27.3;28.4;28.6
Lombardia;2.6;2.6;2.6;2.6;2.7;2.5;2.7;2.8;2.8;2.9;2.8;2.9;3.0;3.0;3.1;3.2;3.4;3.4;3.4;3.4;3.8;3.7;3.9;3.9
Trentino;38.4;37.8;39.3;39.5;39.4;39.5;40.9;41.2;41.5;41.1;41.8;41.7;42.3;42.4;42.7;42.9;43.0;43.4;42.5;41.6;43.0;45.5;47.1;48.1
Veneto;9.6;9.7;9.5;9.6;9.8;12.2;12.8;12.2;12.0;11.7;12.1;12.6;12.9;12.6;12.5;12.5;13.1;12.8;12.5;12.6;12.9;13.3;14.1;14.1
Friuli-Venezia Giulia;7.1;6.8;6.4;6.7;6.8;7.8;8.1;7.8;7.4;7.2;7.0;7.0;7.2;7.3;7.2;7.1;7.3;7.2;6.4;6.2;6.5;6.8;7.2;7.4
Liguria;9.6;9.5;9.7;9.9;10.0;9.8;9.7;9.6;9.4;9.0;8.8;9.0;9.0;9.0;8.8;8.7;9.0;8.6;8.3;8.5;9.1;9.6;9.9;9.8
Emilia-Romagna;8.9;8.6;8.3;8.6;8.8;9.2;9.4;9.3;9.1;8.9;8.8;9.0;9.1;9.1;8.9;8.7;8.9;8.6;8.3;8.0;8.2;8.5;9.0;9.1
Toscana;8.7;9.0;9.0;9.4;10.0;10.7;10.9;10.9;10.5;10.0;10.7;11.4;11.6;11.4;11.2;11.5;11.9;11.6;11.5;11.5;11.8;11.8;12.3;12.8
Umbria;5.4;5.6;5.4;4.5;4.8;6.7;7.1;7.2;6.9;6.8;6.8;7.2;7.3;6.9;6.4;6.4;6.8;6.6;6.4;6.5;6.6;6.7;6.2;6.7
Marche;7.5;7.8;7.9;7.9;8.2;8.5;9.0;8.9;9.0;8.5;8.3;8.6;8.9;7.4;6.9;7.0;7.2;7.1;7.1;7.3;7.8;7.9;7.3;6.3
Lazio;3.8;3.9;4.1;4.2;4.3;5.8;5.7;4.9;4.7;5.4;6.1;6.1;6.0;5.9;5.6;5.6;5.6;5.5;5.4;5.2;5.4;5.5;5.7;6.2
Abruzzo;4.3;4.4;4.5;4.8;4.7;5.0;5.3;5.4;5.6;5.4;5.4;5.8;5.7;5.8;5.1;5.6;5.7;5.5;5.2;4.7;4.6;4.6;4.7;4.8
Molise;1.3;1.4;1.5;1.7;1.7;2.0;2.2;2.2;2.4;2.4;2.3;2.3;2.1;2.1;1.9;1.8;2.2;1.7;1.4;1.3;1.6;1.5;1.4;1.5
Campania;3.0;3.2;3.2;3.4;3.4;3.6;3.7;3.6;3.5;3.5;3.3;3.3;3.4;3.3;3.1;3.2;3.4;3.2;3.0;3.1;3.2;3.4;3.5;3.7
Puglia;1.8;1.8;1.8;1.8;1.9;2.1;2.3;2.6;2.7;2.6;2.7;2.6;2.8;3.0;3.1;3.2;3.3;3.3;3.3;3.2;3.3;3.5;3.7;3.8
Basilicata;1.5;1.8;1.9;2.0;2.0;2.4;2.8;2.8;3.0;3.2;3.3;3.0;3.2;3.2;3.2;3.3;3.4;3.3;3.4;3.6;4.0;4.1;4.4;4.6
Calabria;2.2;2.4;2.4;2.6;3.1;3.1;3.0;3.4;3.7;3.9;4.0;4.1;4.4;4.3;4.3;4.1;4.4;4.3;4.1;3.9;4.1;4.3;4.6;4.8
Sicilia;1.9;2.0;2.1;2.2;2.4;2.7;2.8;2.6;2.7;2.7;2.8;2.9;2.9;2.8;2.8;2.7;2.8;2.9;2.9;2.9;2.9;2.7;2.9;3.0
Sardegna;4.5;4.6;4.9;5.1;5.6;5.8;6.2;6.3;6.4;6.3;6.2;6.4;7.2;7.5;7.5;7.4;7.0;6.6;6.5;6.8;7.5;8.1;8.6;9.1
